date,opening_balance,inflow,operational_outflow,scheduled_outflow,scheduled_label,rent_outflow,total_outflow,net_cash_flow,closing_balance
2026-06-30,1244290.11,31562.6,5759.49,0.0,,0.0,5759.49,25803.11,1270093.22
2026-07-01,1270093.22,44391.67,3888.1,178943.26,payroll,59249.27,242080.63,-197688.96,1072404.26
2026-07-02,1072404.26,33200.36,7196.83,0.0,,0.0,7196.83,26003.53,1098407.79
2026-07-03,1098407.79,40661.09,5994.0,50618.66,vendor_payment,0.0,56612.66,-15951.57,1082456.22
2026-07-04,1082456.22,18865.17,6250.31,0.0,,0.0,6250.31,12614.86,1095071.08
2026-07-05,1095071.08,20209.94,950.58,0.0,,0.0,950.58,19259.36,1114330.44
2026-07-06,1114330.44,43589.09,6408.0,0.0,,0.0,6408.0,37181.09,1151511.53
2026-07-07,1151511.53,36492.9,4875.92,0.0,,0.0,4875.92,31616.98,1183128.51
2026-07-08,1183128.51,44635.4,6320.24,0.0,,0.0,6320.24,38315.16,1221443.67
2026-07-09,1221443.67,42830.53,7019.45,0.0,,0.0,7019.45,35811.08,1257254.75
2026-07-10,1257254.75,38322.05,7496.21,45102.57,vendor_payment,0.0,52598.78,-14276.73,1242978.02
2026-07-11,1242978.02,25841.31,1290.63,0.0,,0.0,1290.63,24550.68,1267528.7
2026-07-12,1267528.7,26029.53,2732.54,0.0,,0.0,2732.54,23296.99,1290825.69
2026-07-13,1290825.69,52406.93,5819.99,0.0,,0.0,5819.99,46586.94,1337412.63
2026-07-14,1337412.63,48206.93,6771.68,0.0,,0.0,6771.68,41435.25,1378847.88
2026-07-15,1378847.88,48455.84,6298.41,0.0,,0.0,6298.41,42157.43,1421005.31
2026-07-16,1421005.31,43634.02,3357.76,177477.06,payroll,0.0,180834.82,-137200.8,1283804.51
2026-07-17,1283804.51,46225.69,6527.64,49733.54,vendor_payment,0.0,56261.18,-10035.49,1273769.02
2026-07-18,1273769.02,21729.04,3362.21,0.0,,0.0,3362.21,18366.83,1292135.85
2026-07-19,1292135.85,21331.21,2353.25,0.0,,0.0,2353.25,18977.96,1311113.81
2026-07-20,1311113.81,47146.25,7314.09,94374.03,gst_payment,0.0,101688.12,-54541.87,1256571.94
2026-07-21,1256571.94,41959.15,6305.41,0.0,,0.0,6305.41,35653.74,1292225.68
2026-07-22,1292225.68,41142.99,5901.47,0.0,,0.0,5901.47,35241.52,1327467.2
2026-07-23,1327467.2,37589.96,6701.14,0.0,,0.0,6701.14,30888.82,1358356.02
2026-07-24,1358356.02,37175.34,4866.42,52713.59,vendor_payment,0.0,57580.01,-20404.67,1337951.35
2026-07-25,1337951.35,31297.12,4632.6,0.0,,0.0,4632.6,26664.52,1364615.87
2026-07-26,1364615.87,24702.03,1778.46,0.0,,0.0,1778.46,22923.57,1387539.44
2026-07-27,1387539.44,45345.54,7877.23,0.0,,0.0,7877.23,37468.31,1425007.75
2026-07-28,1425007.75,42585.82,5537.06,0.0,,0.0,5537.06,37048.76,1462056.51
2026-07-29,1462056.51,34621.07,3999.21,0.0,,0.0,3999.21,30621.86,1492678.37
