date,opening_balance,inflow,operational_outflow,scheduled_outflow,scheduled_label,rent_outflow,total_outflow,net_cash_flow,closing_balance
2026-01-01,500000.0,34489.67,6261.12,179884.02,payroll,57681.06,243826.2,-209336.53,290663.47
2026-01-02,290663.47,33989.72,3448.46,50459.53,vendor_payment,0.0,53907.99,-19918.27,270745.2
2026-01-03,270745.2,20379.65,3396.07,0.0,,0.0,3396.07,16983.58,287728.78
2026-01-04,287728.78,21403.84,2758.22,0.0,,0.0,2758.22,18645.62,306374.4
2026-01-05,306374.4,29784.49,5631.53,0.0,,0.0,5631.53,24152.96,330527.36
2026-01-06,330527.36,39026.33,5301.32,0.0,,0.0,5301.32,33725.01,364252.37
2026-01-07,364252.37,31261.44,5130.58,0.0,,0.0,5130.58,26130.86,390383.23
2026-01-08,390383.23,30008.38,5632.13,0.0,,0.0,5632.13,24376.25,414759.48
2026-01-09,414759.48,33538.48,5647.37,42871.75,vendor_payment,0.0,48519.12,-14980.64,399778.84
2026-01-10,399778.84,15061.93,2507.5,0.0,,0.0,2507.5,12554.43,412333.27
2026-01-11,412333.27,11815.25,2462.62,0.0,,0.0,2462.62,9352.63,421685.9
2026-01-12,421685.9,38423.12,5079.7,0.0,,0.0,5079.7,33343.42,455029.32
2026-01-13,455029.32,32371.74,9380.65,0.0,,0.0,9380.65,22991.09,478020.41
2026-01-14,478020.41,28156.97,4054.63,0.0,,0.0,4054.63,24102.34,502122.75
2026-01-15,502122.75,30751.36,8168.33,0.0,,0.0,8168.33,22583.03,524705.78
2026-01-16,524705.78,41878.02,4540.82,181140.28,payroll,0.0,185681.1,-143803.08,380902.7
2026-01-17,380902.7,18042.75,1693.96,0.0,,0.0,1693.96,16348.79,397251.49
2026-01-18,397251.49,9293.16,3629.5,0.0,,0.0,3629.5,5663.66,402915.15
2026-01-19,402915.15,28991.58,6358.81,0.0,,0.0,6358.81,22632.77,425547.92
2026-01-20,425547.92,33280.52,8244.22,96763.99,gst_payment,0.0,105008.21,-71727.69,353820.23
2026-01-21,353820.23,27760.99,5685.13,0.0,,0.0,5685.13,22075.86,375896.09
2026-01-22,375896.09,37673.81,4400.38,0.0,,0.0,4400.38,33273.43,409169.52
2026-01-23,409169.52,31290.7,6273.09,35305.04,vendor_payment,0.0,41578.13,-10287.43,398882.09
2026-01-24,398882.09,12647.64,355.11,0.0,,0.0,355.11,12292.53,411174.62
2026-01-25,411174.62,19524.99,1726.18,0.0,,0.0,1726.18,17798.81,428973.43
2026-01-26,428973.43,37378.92,6136.55,0.0,,0.0,6136.55,31242.37,460215.8
2026-01-27,460215.8,35822.08,5899.59,0.0,,0.0,5899.59,29922.49,490138.29
2026-01-28,490138.29,36679.66,5876.02,0.0,,0.0,5876.02,30803.64,520941.93
2026-01-29,520941.93,28924.09,7419.32,0.0,,0.0,7419.32,21504.77,542446.7
2026-01-30,542446.7,37802.04,8720.03,44146.79,vendor_payment,0.0,52866.82,-15064.78,527381.92
2026-01-31,527381.92,15782.45,663.55,0.0,,0.0,663.55,15118.9,542500.82
2026-02-01,542500.82,1051.65,829.92,180973.64,payroll,59114.47,240918.03,-239866.38,302634.44
2026-02-02,302634.44,21859.29,6729.91,0.0,,0.0,6729.91,15129.38,317763.82
2026-02-03,317763.82,30921.54,5566.8,0.0,,0.0,5566.8,25354.74,343118.56
2026-02-04,343118.56,31690.52,5838.36,0.0,,0.0,5838.36,25852.16,368970.72
2026-02-05,368970.72,35815.0,3918.58,0.0,,0.0,3918.58,31896.42,400867.14
2026-02-06,400867.14,32705.97,5389.69,51820.35,vendor_payment,0.0,57210.04,-24504.07,376363.07
2026-02-07,376363.07,13917.96,4364.89,0.0,,0.0,4364.89,9553.07,385916.14
2026-02-08,385916.14,21339.35,4349.57,0.0,,0.0,4349.57,16989.78,402905.92
2026-02-09,402905.92,30701.82,6967.14,0.0,,0.0,6967.14,23734.68,426640.6
2026-02-10,426640.6,35553.97,4202.8,0.0,,0.0,4202.8,31351.17,457991.77
2026-02-11,457991.77,32793.87,5456.76,0.0,,0.0,5456.76,27337.11,485328.88
2026-02-12,485328.88,29668.31,5078.22,0.0,,0.0,5078.22,24590.09,509918.97
2026-02-13,509918.97,27584.78,5439.39,47004.82,vendor_payment,0.0,52444.21,-24859.43,485059.54
2026-02-14,485059.54,15256.83,524.22,0.0,,0.0,524.22,14732.61,499792.15
2026-02-15,499792.15,23491.99,1955.02,0.0,,0.0,1955.02,21536.97,521329.12
2026-02-16,521329.12,34331.41,5719.27,178919.76,payroll,0.0,184639.03,-150307.62,371021.5
2026-02-17,371021.5,36963.91,5364.11,0.0,,0.0,5364.11,31599.8,402621.3
2026-02-18,402621.3,34433.27,4266.07,0.0,,0.0,4266.07,30167.2,432788.5
2026-02-19,432788.5,26977.55,5532.53,0.0,,0.0,5532.53,21445.02,454233.52
2026-02-20,454233.52,42998.02,6217.52,56601.78,vendor_payment,0.0,62819.3,-19821.28,434412.24
2026-02-21,434412.24,20981.23,2944.15,0.0,,0.0,2944.15,18037.08,452449.32
2026-02-22,452449.32,16347.84,2373.1,0.0,,0.0,2373.1,13974.74,466424.06
2026-02-23,466424.06,42604.79,7422.23,0.0,,0.0,7422.23,35182.56,501606.62
2026-02-24,501606.62,31774.15,5436.22,0.0,,0.0,5436.22,26337.93,527944.55
2026-02-25,527944.55,40657.59,5382.26,0.0,,0.0,5382.26,35275.33,563219.88
2026-02-26,563219.88,38826.83,4908.53,0.0,,0.0,4908.53,33918.3,597138.18
2026-02-27,597138.18,37562.07,7831.44,50010.04,vendor_payment,0.0,57841.48,-20279.41,576858.77
2026-02-28,576858.77,20226.7,2568.48,0.0,,0.0,2568.48,17658.22,594516.99
2026-03-01,594516.99,18777.1,2372.33,182357.64,payroll,61153.9,245883.87,-227106.77,367410.22
2026-03-02,367410.22,36715.15,4488.94,0.0,,0.0,4488.94,32226.21,399636.43
2026-03-03,399636.43,32585.04,6356.88,0.0,,0.0,6356.88,26228.16,425864.59
2026-03-04,425864.59,35207.73,4376.44,0.0,,0.0,4376.44,30831.29,456695.88
2026-03-05,456695.88,38012.04,9118.6,0.0,,0.0,9118.6,28893.44,485589.32
2026-03-06,485589.32,29552.57,6076.53,54718.73,vendor_payment,0.0,60795.26,-31242.69,454346.63
2026-03-07,454346.63,17437.93,1910.71,0.0,,0.0,1910.71,15527.22,469873.85
2026-03-08,469873.85,20105.49,3080.38,0.0,,0.0,3080.38,17025.11,486898.96
2026-03-09,486898.96,33365.62,7175.78,0.0,,0.0,7175.78,26189.84,513088.8
2026-03-10,513088.8,26691.51,6786.51,0.0,,0.0,6786.51,19905.0,532993.8
2026-03-11,532993.8,36971.47,5809.31,0.0,,0.0,5809.31,31162.16,564155.96
2026-03-12,564155.96,37103.15,6057.45,0.0,,0.0,6057.45,31045.7,595201.66
2026-03-13,595201.66,41392.18,5445.95,44751.49,vendor_payment,0.0,50197.44,-8805.26,586396.4
2026-03-14,586396.4,13256.35,1050.27,0.0,,0.0,1050.27,12206.08,598602.48
2026-03-15,598602.48,18442.78,532.77,0.0,,0.0,532.77,17910.01,616512.49
2026-03-16,616512.49,31739.2,4408.77,179012.8,payroll,0.0,183421.57,-151682.37,464830.12
2026-03-17,464830.12,36128.47,7132.24,0.0,,0.0,7132.24,28996.23,493826.35
2026-03-18,493826.35,26915.26,5759.59,0.0,,0.0,5759.59,21155.67,514982.02
2026-03-19,514982.02,39591.68,7656.16,0.0,,0.0,7656.16,31935.52,546917.54
2026-03-20,546917.54,42071.32,4278.81,41921.16,vendor_payment,0.0,46199.97,-4128.65,542788.89
2026-03-21,542788.89,22224.44,3526.47,0.0,,0.0,3526.47,18697.97,561486.86
2026-03-22,561486.86,20981.08,2718.7,0.0,,0.0,2718.7,18262.38,579749.24
2026-03-23,579749.24,36972.94,5079.17,0.0,,0.0,5079.17,31893.77,611643.01
2026-03-24,611643.01,36661.81,6974.68,0.0,,0.0,6974.68,29687.13,641330.14
2026-03-25,641330.14,34458.18,7407.4,0.0,,0.0,7407.4,27050.78,668380.92
2026-03-26,668380.92,23242.39,5608.19,0.0,,0.0,5608.19,17634.2,686015.12
2026-03-27,686015.12,43730.99,7048.26,53665.04,vendor_payment,0.0,60713.3,-16982.31,669032.81
2026-03-28,669032.81,20527.96,981.93,0.0,,0.0,981.93,19546.03,688578.84
2026-03-29,688578.84,17599.77,4226.64,0.0,,0.0,4226.64,13373.13,701951.97
2026-03-30,701951.97,27959.38,4855.64,0.0,,0.0,4855.64,23103.74,725055.71
2026-03-31,725055.71,28559.3,5359.64,0.0,,0.0,5359.64,23199.66,748255.37
2026-04-01,748255.37,34424.43,6695.92,178352.17,payroll,61713.5,246761.59,-212337.16,535918.21
2026-04-02,535918.21,39282.77,5434.91,0.0,,0.0,5434.91,33847.86,569766.07
2026-04-03,569766.07,31956.21,4202.57,45740.17,vendor_payment,0.0,49942.74,-17986.53,551779.54
2026-04-04,551779.54,28981.92,2207.44,0.0,,0.0,2207.44,26774.48,578554.02
2026-04-05,578554.02,15463.95,2332.94,0.0,,0.0,2332.94,13131.01,591685.03
2026-04-06,591685.03,34247.39,4918.24,0.0,,0.0,4918.24,29329.15,621014.18
2026-04-07,621014.18,28087.16,5935.9,0.0,,0.0,5935.9,22151.26,643165.44
2026-04-08,643165.44,43356.03,7477.78,0.0,,0.0,7477.78,35878.25,679043.69
2026-04-09,679043.69,41148.08,6257.88,0.0,,0.0,6257.88,34890.2,713933.89
2026-04-10,713933.89,38900.6,7220.62,44713.44,vendor_payment,0.0,51934.06,-13033.46,700900.43
2026-04-11,700900.43,21541.94,1930.29,0.0,,0.0,1930.29,19611.65,720512.08
2026-04-12,720512.08,25399.92,1298.15,0.0,,0.0,1298.15,24101.77,744613.85
2026-04-13,744613.85,40001.45,7038.02,0.0,,0.0,7038.02,32963.43,777577.28
2026-04-14,777577.28,40751.25,6865.67,0.0,,0.0,6865.67,33885.58,811462.86
