date,known_outflow,label
2026-06-30,0.0,
2026-07-01,243460.2,payroll
2026-07-02,0.0,
2026-07-03,36302.12,vendor_payment
2026-07-04,0.0,
2026-07-05,0.0,
2026-07-06,0.0,
2026-07-07,0.0,
2026-07-08,0.0,
2026-07-09,0.0,
2026-07-10,41084.35,vendor_payment
2026-07-11,0.0,
2026-07-12,0.0,
2026-07-13,0.0,
2026-07-14,0.0,
2026-07-15,0.0,
2026-07-16,179429.31,payroll
2026-07-17,46539.14,vendor_payment
2026-07-18,0.0,
2026-07-19,0.0,
2026-07-20,93078.04,gst_payment
2026-07-21,0.0,
2026-07-22,0.0,
2026-07-23,0.0,
2026-07-24,48468.7,vendor_payment
2026-07-25,0.0,
2026-07-26,0.0,
2026-07-27,0.0,
2026-07-28,0.0,
2026-07-29,0.0,
