date,forecast_inflow,known_outflow,forecast_operational_outflow,forecast_net_flow,forecast_closing_balance,lower_bound_balance,upper_bound_balance,cash_risk_flag,flag_reason
2026-06-30,39707.04,0.0,6347.02,33360.02,1277650.13,1271434.14,1283866.12,False,Within safe range
2026-07-01,40748.23,243460.2,5842.56,-208554.52,1069095.61,1060304.87,1077886.35,True,"Lower confidence bound Rs 1,060,304.87 is below the Rs 1,150,000.00 safety threshold (driven partly by known payroll outflow)"
2026-07-02,41058.2,0.0,5828.66,35229.55,1104325.16,1093558.74,1115091.58,True,"Lower confidence bound Rs 1,093,558.74 is below the Rs 1,150,000.00 safety threshold"
2026-07-03,40773.59,36302.12,6098.09,-1626.62,1102698.54,1090266.55,1115130.53,True,"Lower confidence bound Rs 1,090,266.55 is below the Rs 1,150,000.00 safety threshold (driven partly by known vendor_payment outflow)"
2026-07-04,24815.78,0.0,2181.95,22633.83,1125332.37,1111432.98,1139231.76,True,"Lower confidence bound Rs 1,111,432.98 is below the Rs 1,150,000.00 safety threshold"
2026-07-05,21763.81,0.0,2493.98,19269.83,1144602.2,1129376.19,1159828.21,True,"Lower confidence bound Rs 1,129,376.19 is below the Rs 1,150,000.00 safety threshold"
2026-07-06,40248.89,0.0,6095.41,34153.48,1178755.68,1162309.71,1195201.65,False,Within safe range
2026-07-07,40019.23,0.0,6351.74,33667.49,1212423.17,1194841.68,1230004.66,False,Within safe range
2026-07-08,41060.42,0.0,5847.28,35213.14,1247636.31,1228988.33,1266284.29,False,Within safe range
2026-07-09,41370.39,0.0,5833.38,35537.01,1283173.32,1263516.62,1302830.02,False,Within safe range
2026-07-10,41085.78,41084.35,6102.81,-6101.38,1277071.94,1256455.82,1297688.06,False,Within safe range
2026-07-11,25127.97,0.0,2186.67,22941.3,1300013.24,1278480.41,1321546.07,False,Within safe range
2026-07-12,22076.0,0.0,2498.7,19577.3,1319590.54,1297178.45,1342002.63,False,Within safe range
2026-07-13,40561.08,0.0,6100.13,34460.95,1354051.49,1330793.37,1377309.61,False,Within safe range
2026-07-14,40331.42,0.0,6356.46,33974.96,1388026.45,1363952.01,1412100.89,False,Within safe range
2026-07-15,41372.61,0.0,5852.0,35520.61,1423547.06,1398683.08,1448411.04,False,Within safe range
2026-07-16,41682.58,179429.31,5838.1,-143584.83,1279962.23,1254333.03,1305591.43,False,Within safe range
2026-07-17,41397.97,46539.14,6107.53,-11248.71,1268713.52,1242341.29,1295085.75,False,Within safe range
2026-07-18,25440.16,0.0,2191.4,23248.77,1291962.29,1264867.4,1319057.18,False,Within safe range
2026-07-19,22388.19,0.0,2503.42,19884.76,1311847.05,1284048.28,1339645.82,False,Within safe range
2026-07-20,40873.27,93078.04,6104.85,-58309.63,1253537.42,1225052.16,1282022.68,False,Within safe range
2026-07-21,40643.61,0.0,6361.19,34282.42,1287819.84,1258664.24,1316975.44,False,Within safe range
2026-07-22,41684.8,0.0,5856.72,35828.08,1323647.92,1293837.06,1353458.78,False,Within safe range
2026-07-23,41994.77,0.0,5842.83,36151.95,1359799.87,1329347.84,1390251.9,False,Within safe range
2026-07-24,41710.16,48468.7,6112.26,-12870.8,1346929.07,1315849.1,1378009.04,False,Within safe range
2026-07-25,25752.35,0.0,2196.12,23556.23,1370485.3,1338789.83,1402180.77,False,Within safe range
2026-07-26,22700.38,0.0,2508.15,20192.23,1390677.53,1358378.28,1422976.78,False,Within safe range
2026-07-27,41185.45,0.0,6109.57,35075.88,1425753.41,1392861.46,1458645.36,False,Within safe range
2026-07-28,40955.8,0.0,6365.91,34589.89,1460343.3,1426869.15,1493817.45,False,Within safe range
2026-07-29,41996.99,0.0,5861.45,36135.54,1496478.84,1462432.44,1530525.24,False,Within safe range
